Relationship_ID,Relationship_Type,From_Parameter_ID,From_Parameter_Name,From_Category,To_ID,To_Name,Direction,Strength,Evidence,Notes
REL-00001,Parameter->Symptom,PAR-HIST-01,Last Maint,Compressor Historical/Performance Data (Source- SAP/Site supplied data),SYM-01,High Vibration,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00002,Parameter->Symptom,PAR-HIST-04,Trip History,Compressor Historical/Performance Data (Source- SAP/Site supplied data),SYM-01,High Vibration,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00003,Parameter->Symptom,PAR-PROC-01,Gas Handled,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-01,High Vibration,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00004,Parameter->Symptom,PAR-PROC-02,Speed,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-01,High Vibration,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00005,Parameter->Symptom,PAR-PROC-03,Molecular Weight,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-01,High Vibration,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00006,Parameter->Symptom,PAR-PROC-04,Suction Pressure,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-01,High Vibration,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00007,Parameter->Symptom,PAR-PROC-10,Discharge Pressure,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-01,High Vibration,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00008,Parameter->Symptom,PAR-PROC-14,Recycle Valve (Anti-Surge Valve) opening %,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-01,High Vibration,Direct,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00009,Parameter->Symptom,PAR-PROC-19,Power drawn -if motor driven-Current,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-01,High Vibration,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00010,Parameter->Symptom,PAR-PROC-20,Power drawn - If turbine driven-steam flow,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-01,High Vibration,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00011,Parameter->Symptom,PAR-LO-01,Lube Oil supply Pressure,Lubrication System,SYM-01,High Vibration,Inverse,High,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00012,Parameter->Symptom,PAR-LO-02,Lube Oil supply temperature,Lubrication System,SYM-01,High Vibration,Direct,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00013,Parameter->Symptom,PAR-BRG-01,Inboard Radial Bearing Temperature,Compressor Bearing Temperature (Source- System-1/other),SYM-01,High Vibration,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00014,Parameter->Symptom,PAR-BRG-02,Outboard Radial Bearing Temperature,Compressor Bearing Temperature (Source- System-1/other),SYM-01,High Vibration,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00015,Parameter->Symptom,PAR-BRG-03,Thrust bearing Active Temperature,Compressor Bearing Temperature (Source- System-1/other),SYM-01,High Vibration,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00016,Parameter->Symptom,PAR-BRG-04,Thrust bearing In-active Temperature,Compressor Bearing Temperature (Source- System-1/other),SYM-01,High Vibration,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00017,Parameter->Symptom,PAR-VIB-01,Inboard X probe,Compressor Vibration/Axial Displacemen (Source- System-1/Other),SYM-01,High Vibration,Direct,High,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00018,Parameter->Symptom,PAR-VIB-02,Inboard Y probe,Compressor Vibration/Axial Displacemen (Source- System-1/Other),SYM-01,High Vibration,Direct,High,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00019,Parameter->Symptom,PAR-VIB-04,Outboard Y probe,Compressor Vibration/Axial Displacemen (Source- System-1/Other),SYM-01,High Vibration,Direct,High,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00020,Parameter->Symptom,PAR-VIB-05,Axial displacement Probe 1,Compressor Vibration/Axial Displacemen (Source- System-1/Other),SYM-01,High Vibration,Direct,High,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00021,Parameter->Symptom,PAR-VIB-06,Axial displacement probe 2,Compressor Vibration/Axial Displacemen (Source- System-1/Other),SYM-01,High Vibration,Direct,High,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00022,Parameter->Symptom,PAR-VIB-07,Phase angle Trend,Compressor Vibration/Axial Displacemen (Source- System-1/Other),SYM-01,High Vibration,Direct,High,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00023,Parameter->Symptom,PAR-VIB-08,Frequency vs Amplitude Trend,Compressor Vibration/Axial Displacemen (Source- System-1/Other),SYM-01,High Vibration,Direct,High,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00024,Parameter->Symptom,PAR-DRV-01,Inboard X probe,Compressor-Driver Vibration/AxiaL Displacement (Source-System-1/Other,SYM-01,High Vibration,Direct,High,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00025,Parameter->Symptom,PAR-DRV-02,Inboard Y probe,Compressor-Driver Vibration/AxiaL Displacement (Source-System-1/Other,SYM-01,High Vibration,Direct,High,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00026,Parameter->Symptom,PAR-DRV-03,Outboard X probe,Compressor-Driver Vibration/AxiaL Displacement (Source-System-1/Other,SYM-01,High Vibration,Direct,High,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00027,Parameter->Symptom,PAR-DRV-04,Axial displacement Probe 1,Compressor-Driver Vibration/AxiaL Displacement (Source-System-1/Other,SYM-01,High Vibration,Direct,High,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00028,Parameter->Symptom,PAR-DRV-05,Axial displacement probe 2,Compressor-Driver Vibration/AxiaL Displacement (Source-System-1/Other,SYM-01,High Vibration,Direct,High,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00029,Parameter->Symptom,PAR-DRV-06,Phase angle Trend,Compressor-Driver Vibration/AxiaL Displacement (Source-System-1/Other,SYM-01,High Vibration,Direct,High,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00030,Parameter->Symptom,PAR-DRV-07,Frequency vs Amplitude Trend,Compressor-Driver Vibration/AxiaL Displacement (Source-System-1/Other,SYM-01,High Vibration,Direct,High,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00031,Parameter->Symptom,PAR-OA-01,Viscosity,Oil Analysis (Source Lab/3rd party report/other),SYM-01,High Vibration,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00032,Parameter->Symptom,PAR-HIST-01,Last Maint,Compressor Historical/Performance Data (Source- SAP/Site supplied data),SYM-02,High Axial Displacement,Context,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00033,Parameter->Symptom,PAR-HIST-03,Overhaul Reports,Compressor Historical/Performance Data (Source- SAP/Site supplied data),SYM-02,High Axial Displacement,Context,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00034,Parameter->Symptom,PAR-HIST-04,Trip History,Compressor Historical/Performance Data (Source- SAP/Site supplied data),SYM-02,High Axial Displacement,Context,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00035,Parameter->Symptom,PAR-PROC-01,Gas Handled,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-02,High Axial Displacement,Context,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00036,Parameter->Symptom,PAR-PROC-02,Speed,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-02,High Axial Displacement,Context,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00037,Parameter->Symptom,PAR-PROC-03,Molecular Weight,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-02,High Axial Displacement,Context,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00038,Parameter->Symptom,PAR-PROC-04,Suction Pressure,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-02,High Axial Displacement,Context,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00039,Parameter->Symptom,PAR-PROC-10,Discharge Pressure,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-02,High Axial Displacement,Context,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00040,Parameter->Symptom,PAR-PROC-11,Discharge Temperature,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-02,High Axial Displacement,Context,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00041,Parameter->Symptom,PAR-PROC-13,Balancing Line Pressure,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-02,High Axial Displacement,Context,High,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00042,Parameter->Symptom,PAR-PROC-14,Recycle Valve (Anti-Surge Valve) opening %,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-02,High Axial Displacement,Context,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00043,Parameter->Symptom,PAR-PROC-19,Power drawn -if motor driven-Current,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-02,High Axial Displacement,Context,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00044,Parameter->Symptom,PAR-PROC-20,Power drawn - If turbine driven-steam flow,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-02,High Axial Displacement,Context,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00045,Parameter->Symptom,PAR-LO-01,Lube Oil supply Pressure,Lubrication System,SYM-02,High Axial Displacement,Context,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00046,Parameter->Symptom,PAR-LO-02,Lube Oil supply temperature,Lubrication System,SYM-02,High Axial Displacement,Context,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00047,Parameter->Symptom,PAR-BRG-03,Thrust bearing Active Temperature,Compressor Bearing Temperature (Source- System-1/other),SYM-02,High Axial Displacement,Direct,High,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00048,Parameter->Symptom,PAR-BRG-04,Thrust bearing In-active Temperature,Compressor Bearing Temperature (Source- System-1/other),SYM-02,High Axial Displacement,Direct,High,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00049,Parameter->Symptom,PAR-VIB-01,Inboard X probe,Compressor Vibration/Axial Displacemen (Source- System-1/Other),SYM-02,High Axial Displacement,Context,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00050,Parameter->Symptom,PAR-VIB-02,Inboard Y probe,Compressor Vibration/Axial Displacemen (Source- System-1/Other),SYM-02,High Axial Displacement,Context,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00051,Parameter->Symptom,PAR-VIB-03,Outboard X probe,Compressor Vibration/Axial Displacemen (Source- System-1/Other),SYM-02,High Axial Displacement,Context,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00052,Parameter->Symptom,PAR-VIB-04,Outboard Y probe,Compressor Vibration/Axial Displacemen (Source- System-1/Other),SYM-02,High Axial Displacement,Context,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00053,Parameter->Symptom,PAR-VIB-05,Axial displacement Probe 1,Compressor Vibration/Axial Displacemen (Source- System-1/Other),SYM-02,High Axial Displacement,Direct,High,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00054,Parameter->Symptom,PAR-VIB-06,Axial displacement probe 2,Compressor Vibration/Axial Displacemen (Source- System-1/Other),SYM-02,High Axial Displacement,Direct,High,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00055,Parameter->Symptom,PAR-VIB-08,Frequency vs Amplitude Trend,Compressor Vibration/Axial Displacemen (Source- System-1/Other),SYM-02,High Axial Displacement,Context,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00056,Parameter->Symptom,PAR-DRV-01,Inboard X probe,Compressor-Driver Vibration/AxiaL Displacement (Source-System-1/Other,SYM-02,High Axial Displacement,Context,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00057,Parameter->Symptom,PAR-DRV-02,Inboard Y probe,Compressor-Driver Vibration/AxiaL Displacement (Source-System-1/Other,SYM-02,High Axial Displacement,Context,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00058,Parameter->Symptom,PAR-DRV-03,Outboard X probe,Compressor-Driver Vibration/AxiaL Displacement (Source-System-1/Other,SYM-02,High Axial Displacement,Context,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00059,Parameter->Symptom,PAR-DRV-04,Axial displacement Probe 1,Compressor-Driver Vibration/AxiaL Displacement (Source-System-1/Other,SYM-02,High Axial Displacement,Direct,High,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00060,Parameter->Symptom,PAR-DRV-05,Axial displacement probe 2,Compressor-Driver Vibration/AxiaL Displacement (Source-System-1/Other,SYM-02,High Axial Displacement,Direct,High,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00061,Parameter->Symptom,PAR-DRV-07,Frequency vs Amplitude Trend,Compressor-Driver Vibration/AxiaL Displacement (Source-System-1/Other,SYM-02,High Axial Displacement,Context,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00062,Parameter->Symptom,PAR-OA-01,Viscosity,Oil Analysis (Source Lab/3rd party report/other),SYM-02,High Axial Displacement,Context,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00063,Parameter->Symptom,PAR-OA-02,Flash Point,Oil Analysis (Source Lab/3rd party report/other),SYM-02,High Axial Displacement,Context,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00064,Parameter->Symptom,PAR-OA-03,Moisture,Oil Analysis (Source Lab/3rd party report/other),SYM-02,High Axial Displacement,Context,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00065,Parameter->Symptom,PAR-OA-04,Wear Debris Analysis,Oil Analysis (Source Lab/3rd party report/other),SYM-02,High Axial Displacement,Context,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00066,Parameter->Symptom,PAR-HIST-04,Trip History,Compressor Historical/Performance Data (Source- SAP/Site supplied data),SYM-03,Higher power drawn,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00067,Parameter->Symptom,PAR-PROC-01,Gas Handled,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-03,Higher power drawn,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00068,Parameter->Symptom,PAR-PROC-02,Speed,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-03,Higher power drawn,Direct,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00069,Parameter->Symptom,PAR-PROC-03,Molecular Weight,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-03,Higher power drawn,Direct,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00070,Parameter->Symptom,PAR-PROC-04,Suction Pressure,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-03,Higher power drawn,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00071,Parameter->Symptom,PAR-PROC-05,Suction Temperature,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-03,Higher power drawn,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00072,Parameter->Symptom,PAR-PROC-06,Suction Flow,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-03,Higher power drawn,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00073,Parameter->Symptom,PAR-PROC-10,Discharge Pressure,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-03,Higher power drawn,Direct,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00074,Parameter->Symptom,PAR-PROC-11,Discharge Temperature,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-03,Higher power drawn,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00075,Parameter->Symptom,PAR-PROC-13,Balancing Line Pressure,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-03,Higher power drawn,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00076,Parameter->Symptom,PAR-PROC-14,Recycle Valve (Anti-Surge Valve) opening %,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-03,Higher power drawn,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00077,Parameter->Symptom,PAR-PROC-19,Power drawn -if motor driven-Current,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-03,Higher power drawn,Direct,High,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00078,Parameter->Symptom,PAR-PROC-20,Power drawn - If turbine driven-steam flow,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-03,Higher power drawn,Direct,High,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00079,Parameter->Symptom,PAR-BRG-01,Inboard Radial Bearing Temperature,Compressor Bearing Temperature (Source- System-1/other),SYM-03,Higher power drawn,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00080,Parameter->Symptom,PAR-BRG-02,Outboard Radial Bearing Temperature,Compressor Bearing Temperature (Source- System-1/other),SYM-03,Higher power drawn,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00081,Parameter->Symptom,PAR-BRG-03,Thrust bearing Active Temperature,Compressor Bearing Temperature (Source- System-1/other),SYM-03,Higher power drawn,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00082,Parameter->Symptom,PAR-BRG-04,Thrust bearing In-active Temperature,Compressor Bearing Temperature (Source- System-1/other),SYM-03,Higher power drawn,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00083,Parameter->Symptom,PAR-VIB-01,Inboard X probe,Compressor Vibration/Axial Displacemen (Source- System-1/Other),SYM-03,Higher power drawn,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00084,Parameter->Symptom,PAR-VIB-02,Inboard Y probe,Compressor Vibration/Axial Displacemen (Source- System-1/Other),SYM-03,Higher power drawn,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00085,Parameter->Symptom,PAR-VIB-03,Outboard X probe,Compressor Vibration/Axial Displacemen (Source- System-1/Other),SYM-03,Higher power drawn,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00086,Parameter->Symptom,PAR-VIB-04,Outboard Y probe,Compressor Vibration/Axial Displacemen (Source- System-1/Other),SYM-03,Higher power drawn,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00087,Parameter->Symptom,PAR-VIB-05,Axial displacement Probe 1,Compressor Vibration/Axial Displacemen (Source- System-1/Other),SYM-03,Higher power drawn,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00088,Parameter->Symptom,PAR-VIB-06,Axial displacement probe 2,Compressor Vibration/Axial Displacemen (Source- System-1/Other),SYM-03,Higher power drawn,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00089,Parameter->Symptom,PAR-VIB-07,Phase angle Trend,Compressor Vibration/Axial Displacemen (Source- System-1/Other),SYM-03,Higher power drawn,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00090,Parameter->Symptom,PAR-DRV-01,Inboard X probe,Compressor-Driver Vibration/AxiaL Displacement (Source-System-1/Other,SYM-03,Higher power drawn,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00091,Parameter->Symptom,PAR-DRV-02,Inboard Y probe,Compressor-Driver Vibration/AxiaL Displacement (Source-System-1/Other,SYM-03,Higher power drawn,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00092,Parameter->Symptom,PAR-DRV-03,Outboard X probe,Compressor-Driver Vibration/AxiaL Displacement (Source-System-1/Other,SYM-03,Higher power drawn,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
